Reference,month,year,gr,Season,TBEP_seg,sgyear,FLUCCSCODE,areas,bottom,DominantVeg,bveg,Shore,bay_TBEPseg_season,bay_TBEPseg_sgyr,bay_TBEPseg_sgyr_season,BvegCovBin
TBM1998021303,2,1998,20,Winter,LTB,1999,9113,10,MudSan,Syringodium spp.,SAV,16.9,LTB_Winter,LTB_1999,LTB_1999        _Winter,51-75
TBM1998021304,2,1998,20,Winter,LTB,1999,9116,10,MudSan,Halodule spp.,SAVAlg,16.1,LTB_Winter,LTB_1999,LTB_1999        _Winter,76-100
TBM1998021703,2,1998,20,Winter,MTB,1999,9116,17,San,Thalassia spp.,SAV,17.9,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998021704,2,1998,20,Winter,LTB,1999,NA,16,San,SAV,SAV,18.5,LTB_Winter,LTB_1999,LTB_1999        _Winter,51-75
TBM1998021705,2,1998,20,Winter,LTB,1999,NA,12,San,None,Non,18.3,LTB_Winter,LTB_1999,LTB_1999        _Winter,0-25
TBM1998022015,2,1998,20,Winter,MTB,1999,NA,6,San,Halodule spp.,SAV,21.9,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998022501,2,1998,20,Winter,MTB,1999,NA,6,San,None,Non,21.2,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998022503,2,1998,20,Winter,MTB,1999,NA,6,San,None,Non,20,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998031005,3,1998,20,Winter,HB,1999,NA,3,MudSan,None,Non,19.2,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998031008,3,1998,20,Winter,HB,1999,NA,3,MudSan,None,Non,19.1,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998031304,3,1998,20,Winter,OTB,1999,9113,26,MudSan,SAV,SAV,15.2,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998031306,3,1998,20,Winter,OTB,1999,NA,20,MudSan,Halodule spp.,SAV,11.9,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998031307,3,1998,20,Winter,LTB,1999,NA,10,San,Halodule spp.,SAV,14.3,LTB_Winter,LTB_1999,LTB_1999        _Winter,76-100
TBM1998031308,3,1998,20,Winter,LTB,1999,NA,10,San,Thalassia spp.,SAV,14.3,LTB_Winter,LTB_1999,LTB_1999        _Winter,0-25
TBM1998031309,3,1998,20,Winter,LTB,1999,9116,10,San,Thalassia spp.,SAV,15.2,LTB_Winter,LTB_1999,LTB_1999        _Winter,0-25
TBM1998031604,3,1998,20,Winter,LTB,1999,NA,8,MudSan,Thalassia spp.,SAV,17.6,LTB_Winter,LTB_1999,LTB_1999        _Winter,76-100
TBM1998031705,3,1998,20,Winter,MTB,1999,NA,6,San,None,Non,18.2,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998031803,3,1998,20,Winter,MTB,1999,9116,17,SanStr,None,Non,18.7,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998031808,3,1998,20,Winter,MTB,1999,9113,17,MudSan,Syringodium spp.,SAV,19.3,MTB_Winter,MTB_1999,MTB_1999        _Winter,26-50
TBM1998032301,3,1998,20,Winter,MTB,1999,NA,7,San,None,Non,16.7,MTB_Winter,MTB_1999,MTB_1999        _Winter,Unk
TBM1998032402,3,1998,20,Winter,OTB,1999,NA,24,San,None,Non,17.9,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998032403,3,1998,20,Winter,OTB,1999,NA,23,MudSan,None,Non,17.6,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998032404,3,1998,20,Winter,OTB,1999,NA,24,MudSan,Halodule spp.,SAV,17.6,OTB_Winter,OTB_1999,OTB_1999        _Winter,26-50
TBM1998040901,4,1998,20,Spring,HB,1999,NA,1,MudSan,None,Non,23.6,HB_Spring,HB_1999,HB_1999         _Spring,0-25
TBM1998040904,4,1998,20,Spring,HB,1999,NA,5,SanStr,None,Non,24.4,HB_Spring,HB_1999,HB_1999         _Spring,0-25
TBM1998041302,4,1998,20,Spring,MTB,1999,NA,6,MudSan,Halodule spp.,SAV,20.9,MTB_Spring,MTB_1999,MTB_1999        _Spring,0-25
TBM1998041304,4,1998,20,Spring,MTB,1999,NA,6,MudSan,Halodule spp.,SAV,20.8,MTB_Spring,MTB_1999,MTB_1999        _Spring,51-75
TBM1998041402,4,1998,20,Spring,MTB,1999,9116,7,San,Halodule spp.,SAV,20.4,MTB_Spring,MTB_1999,MTB_1999        _Spring,0-25
TBM1998041501,4,1998,20,Spring,OTB,1999,9116,24,MudSan,Halodule spp.,SAV,21.3,OTB_Spring,OTB_1999,OTB_1999        _Spring,76-100
TBM1998041503,4,1998,20,Spring,OTB,1999,9116,23,MudSan,None,Non,20.7,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998041508,4,1998,20,Spring,OTB,1999,NA,21,San,None,Non,21.5,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998041513,4,1998,20,Spring,OTB,1999,NA,21,MudSan,Halodule spp.,SAV,21.9,OTB_Spring,OTB_1999,OTB_1999        _Spring,76-100
TBM1998041603,4,1998,20,Spring,OTB,1999,NA,27,San,None,Non,22.6,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998041605,4,1998,20,Spring,OTB,1999,NA,19,San,Halodule spp.,SAV,22.9,OTB_Spring,OTB_1999,OTB_1999        _Spring,76-100
TBM1998041703,4,1998,20,Spring,MTB,1999,NA,17,MudSan,Halodule spp.,SAV,23.4,MTB_Spring,MTB_1999,MTB_1999        _Spring,0-25
TBM1998042102,4,1998,20,Spring,LTB,1999,NA,8,San,None,Non,23.9,LTB_Spring,LTB_1999,LTB_1999        _Spring,0-25
TBM1998051103,5,1998,20,Spring,HB,1999,NA,2,San,None,Non,26.1,HB_Spring,HB_1999,HB_1999         _Spring,0-25
TBM1998051105,5,1998,20,Spring,HB,1999,NA,2,MudSan,None,Non,25.5,HB_Spring,HB_1999,HB_1999         _Spring,0-25
TBM1998051202,5,1998,20,Spring,OTB,1999,NA,24,MudSan,Ruppia spp.,SAV,25.4,OTB_Spring,OTB_1999,OTB_1999        _Spring,51-75
TBM1998051205,5,1998,20,Spring,OTB,1999,NA,21,MudSan,None,Non,27,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998051206,5,1998,20,Spring,OTB,1999,NA,21,MudSan,Ruppia spp.,SAV,26.6,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998051302,5,1998,20,Spring,OTB,1999,NA,25,San,Halodule spp.,SAV,26.8,OTB_Spring,OTB_1999,OTB_1999        _Spring,0-25
TBM1998051305,5,1998,20,Spring,MTB,1999,NA,19,San,Halodule spp.,SAV,27.2,MTB_Spring,MTB_1999,MTB_1999        _Spring,26-50
TBM1998051902,5,1998,20,Spring,MTB,1999,NA,6,MudSan,Halodule spp.,SAV,26,MTB_Spring,MTB_1999,MTB_1999        _Spring,76-100
TBM1998051905,5,1998,20,Spring,HB,1999,NA,29,SanStr,None,Non,29.5,HB_Spring,HB_1999,HB_1999         _Spring,0-25
TBM1998052007,5,1998,20,Spring,LTB,1999,9113,8,MudSan,None,Non,28.2,LTB_Spring,LTB_1999,LTB_1999        _Spring,0-25
TBM1998052101,5,1998,20,Spring,MTB,1999,9113,17,San,SAV,SAV,27.7,MTB_Spring,MTB_1999,MTB_1999        _Spring,76-100
TBM1998052102,5,1998,20,Spring,LTB,1999,9113,16,San,Halodule spp.,SAV,27.7,LTB_Spring,LTB_1999,LTB_1999        _Spring,0-25
TBM1998052202,5,1998,20,Spring,LTB,1999,9116,8,MudSan,Algae,SAVAlg,26.8,LTB_Spring,LTB_1999,LTB_1999        _Spring,76-100
TBM1998052203,5,1998,20,Spring,LTB,1999,9113,8,MudSan,Halodule spp.,SAV,26.6,LTB_Spring,LTB_1999,LTB_1999        _Spring,76-100
TBM1998052605,5,1998,20,Spring,LTB,1999,9113,12,San,SAV,SAV,28.1,LTB_Spring,LTB_1999,LTB_1999        _Spring,0-25
TBM1998061001,6,1998,20,Summer,HB,1999,NA,2,MudSan,None,Non,27.8,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998061003,6,1998,20,Summer,HB,1999,NA,2,MudSan,None,Non,29.6,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998061005,6,1998,20,Summer,HB,1999,NA,3,MudSan,None,Non,28.3,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998061104,6,1998,20,Summer,MTB,1999,9116,27,MudSan,Ruppia spp.,SAV,29.7,MTB_Summer,MTB_1999,MTB_1999        _Summer,76-100
TBM1998061201,6,1998,20,Summer,LTB,1999,NA,8,San,Thalassia spp.,SAV,30.7,LTB_Summer,LTB_1999,LTB_1999        _Summer,26-50
TBM1998061202,6,1998,20,Summer,LTB,1999,NA,8,Str,Algae,Alg,30.8,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998061501,6,1998,20,Summer,OTB,1999,NA,24,MudSan,Ruppia spp.,SAV,28.2,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998061503,6,1998,20,Summer,OTB,1999,9113,24,San,None,Non,30.1,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998061505,6,1998,20,Summer,OTB,1999,9113,23,MudSan,Halodule spp.,SAV,29.8,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998061506,6,1998,20,Summer,OTB,1999,NA,23,MudSan,None,Non,30.5,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998061604,6,1998,20,Summer,LTB,1999,9116,12,San,Syringodium spp.,SAV,30.3,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998061605,6,1998,20,Summer,LTB,1999,9116,12,San,Thalassia spp.,SAV,29.7,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998061805,6,1998,20,Summer,OTB,1999,9116,19,MudSan,Syringodium spp.,SAV,31,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998061810,6,1998,20,Summer,MTB,1999,9113,18,San,Halodule spp.,SAV,31.5,MTB_Summer,MTB_1999,MTB_1999        _Summer,0-25
TBM1998061901,6,1998,20,Summer,OTB,1999,9113,26,MudSan,Halodule spp.,SAV,30.4,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998062202,6,1998,20,Summer,MTB,1999,9113,7,MudSan,Halodule spp.,SAV,29.2,MTB_Summer,MTB_1999,MTB_1999        _Summer,76-100
TBM1998070702,7,1998,20,Summer,HB,1999,NA,5,San,None,Non,31.5,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998070901,7,1998,20,Summer,LTB,1999,9116,10,San,None,Non,30,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998070903,7,1998,20,Summer,LTB,1999,9113,8,SanStr,Thalassia spp.,SAV,30.4,LTB_Summer,LTB_1999,LTB_1999        _Summer,26-50
TBM1998070905,7,1998,20,Summer,LTB,1999,9116,8,MudSan,Thalassia spp.,SAV,30.5,LTB_Summer,LTB_1999,LTB_1999        _Summer,26-50
TBM1998071002,7,1998,20,Summer,HB,1999,NA,1,MudSan,None,Non,29.2,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998071312,7,1998,20,Summer,HB,1999,NA,5,MudSan,Halodule spp.,SAV,29.5,HB_Summer,HB_1999,HB_1999         _Summer,76-100
TBM1998071404,7,1998,20,Summer,MTB,1999,9113,7,San,Algae,Alg,29.4,MTB_Summer,MTB_1999,MTB_1999        _Summer,0-25
TBM1998071406,7,1998,20,Summer,LTB,1999,9113,8,MudStr,SAV,SAVAlg,29.4,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998071409,7,1998,20,Summer,LTB,1999,NA,8,San,Thalassia spp.,SAV,29.7,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998071607,7,1998,20,Summer,LTB,1999,9113,16,MudSan,Halodule spp.,SAV,31.3,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998071704,7,1998,20,Summer,OTB,1999,NA,27,MudSan,Halodule spp.,SAV,28.8,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998072101,7,1998,20,Summer,OTB,1999,9116,19,MudSan,SAV,SAV,30.1,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998072102,7,1998,20,Summer,OTB,1999,9116,19,MudSan,Thalassia spp.,SAV,29.9,OTB_Summer,OTB_1999,OTB_1999        _Summer,26-50
TBM1998072105,7,1998,20,Summer,OTB,1999,NA,21,MudSan,Halodule spp.,SAV,28.5,OTB_Summer,OTB_1999,OTB_1999        _Summer,51-75
TBM1998072202,7,1998,20,Summer,OTB,1999,9113,24,MudSan,Halodule spp.,SAV,28.1,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998072204,7,1998,20,Summer,OTB,1999,NA,23,Mud,None,Non,30.2,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998072206,7,1998,20,Summer,OTB,1999,NA,25,MudSan,Halodule spp.,SAV,30.55,OTB_Summer,OTB_1999,OTB_1999        _Summer,26-50
TBM1998081207,8,1998,20,Summer,LTB,1999,9116,10,MudSan,Syringodium spp.,SAV,31.6,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998081303,8,1998,20,Summer,OTB,1999,NA,21,MudSan,Ruppia spp.,SAV,31.6,OTB_Summer,OTB_1999,OTB_1999        _Summer,26-50
TBM1998081403,8,1998,20,Summer,HB,1999,NA,4,San,None,Non,30.9,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998081404,8,1998,20,Summer,HB,1999,NA,2,MudSan,None,Non,30.7,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998081701,8,1998,20,Summer,OTB,1999,9113,22,MudSan,Ruppia spp.,SAV,27.9,OTB_Summer,OTB_1999,OTB_1999        _Summer,51-75
TBM1998081708,8,1998,20,Summer,OTB,1999,9113,25,Mud,Ruppia spp.,SAV,30.9,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998081715,8,1998,20,Summer,OTB,1999,9113,23,San,None,Non,31.4,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998081803,8,1998,20,Summer,LTB,1999,9116,8,San,Halodule spp.,SAV,32.1,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998081804,8,1998,20,Summer,LTB,1999,NA,8,San,None,Non,32.7,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998081902,8,1998,20,Summer,MTB,1999,9113,18,San,SAV,SAVAlg,30.9,MTB_Summer,MTB_1999,MTB_1999        _Summer,26-50
TBM1998081903,8,1998,20,Summer,MTB,1999,NA,18,MudSan,Halodule spp.,SAV,32.1,MTB_Summer,MTB_1999,MTB_1999        _Summer,76-100
TBM1998081907,8,1998,20,Summer,MTB,1999,9113,17,San,None,Non,31.5,MTB_Summer,MTB_1999,MTB_1999        _Summer,0-25
TBM1998082003,8,1998,20,Summer,MTB,1999,NA,6,Mud,Halodule spp.,SAV,30.1,MTB_Summer,MTB_1999,MTB_1999        _Summer,76-100
TBM1998082004,8,1998,20,Summer,MTB,1999,NA,6,San,Halodule spp.,SAV,36.1,MTB_Summer,MTB_1999,MTB_1999        _Summer,0-25
TBM1998082102,8,1998,20,Summer,LTB,1999,9116,12,San,Thalassia spp.,SAV,28.1,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998090401,9,1998,20,Summer,HB,1999,NA,4,MudStr,None,Non,28.6,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998090408,9,1998,20,Summer,HB,1999,NA,1,MudSan,None,Non,32.5,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998090410,9,1998,20,Summer,HB,1999,NA,2,MudSan,None,Non,33.1,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998090411,9,1998,20,Summer,HB,1999,NA,2,MudSan,None,Non,31.5,HB_Summer,HB_1999,HB_1999         _Summer,0-25
TBM1998090809,9,1998,20,Summer,LTB,1999,9116,16,MudSan,None,Non,30.1,LTB_Summer,LTB_1999,LTB_1999        _Summer,0-25
TBM1998091101,9,1998,20,Summer,OTB,1999,9113,26,MudStr,Halodule spp.,SAV,27,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998091102,9,1998,20,Summer,OTB,1999,NA,27,San,Halodule spp.,SAV,28.5,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998091104,9,1998,20,Summer,OTB,1999,NA,24,MudSan,None,Non,27.7,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998091403,9,1998,20,Summer,OTB,1999,NA,22,MudSan,Ruppia spp.,SAV,27,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998091405,9,1998,20,Summer,OTB,1999,NA,24,MudSan,Ruppia spp.,SAV,28,OTB_Summer,OTB_1999,OTB_1999        _Summer,76-100
TBM1998091406,9,1998,20,Summer,OTB,1999,NA,23,Mud,None,Non,30.1,OTB_Summer,OTB_1999,OTB_1999        _Summer,0-25
TBM1998091505,9,1998,20,Summer,MTB,1999,NA,7,MudSan,None,Non,27.7,MTB_Summer,MTB_1999,MTB_1999        _Summer,0-25
TBM1998091516,9,1998,20,Summer,LTB,1999,NA,8,MudSan,SAV,SAV,29,LTB_Summer,LTB_1999,LTB_1999        _Summer,51-75
TBM1998091605,9,1998,20,Summer,LTB,1999,9113,10,MudSan,SAV,SAV,27.5,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998091606,9,1998,20,Summer,LTB,1999,9113,10,MudSan,Halodule spp.,SAV,27,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998091607,9,1998,20,Summer,LTB,1999,9116,8,MudSan,Halodule spp.,SAV,29,LTB_Summer,LTB_1999,LTB_1999        _Summer,76-100
TBM1998092401,9,1998,20,Summer,MTB,1999,NA,17,MudSan,Halodule spp.,SAV,28.5,MTB_Summer,MTB_1999,MTB_1999        _Summer,76-100
TBM1998100602,10,1998,20,Fall,HB,1999,NA,2,San,None,Non,29.3,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998100604,10,1998,20,Fall,HB,1999,NA,1,San,None,Non,27.6,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998100605,10,1998,20,Fall,HB,1999,NA,1,MudSan,None,Non,28.4,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998100609,10,1998,20,Fall,HB,1999,NA,1,MudSan,None,Non,28.6,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998100705,10,1998,20,Fall,MTB,1999,NA,19,San,None,Non,28.9,MTB_Fall,MTB_1999,MTB_1999        _Fall,0-25
TBM1998100707,10,1998,20,Fall,OTB,1999,9113,19,San,Syringodium spp.,SAV,29.9,OTB_Fall,OTB_1999,OTB_1999        _Fall,51-75
TBM1998100805,10,1998,20,Fall,MTB,1999,9113,17,San,Thalassia spp.,SAV,28.6,MTB_Fall,MTB_1999,MTB_1999        _Fall,76-100
TBM1998101302,10,1998,20,Fall,OTB,1999,NA,22,MudSan,None,Non,27.2,OTB_Fall,OTB_1999,OTB_1999        _Fall,0-25
TBM1998101308,10,1998,20,Fall,OTB,1999,9113,25,San,Thalassia spp.,SAV,28.6,OTB_Fall,OTB_1999,OTB_1999        _Fall,51-75
TBM1998101313,10,1998,20,Fall,OTB,1999,NA,24,MudSan,None,Non,27.7,OTB_Fall,OTB_1999,OTB_1999        _Fall,0-25
TBM1998101320,10,1998,20,Fall,OTB,1999,NA,23,MudSan,None,Non,28.9,OTB_Fall,OTB_1999,OTB_1999        _Fall,0-25
TBM1998101410,10,1998,20,Fall,LTB,1999,9116,8,Mud,None,Non,27.2,LTB_Fall,LTB_1999,LTB_1999        _Fall,0-25
TBM1998101416,10,1998,20,Fall,LTB,1999,9113,8,MudSan,Thalassia spp.,SAV,28.4,LTB_Fall,LTB_1999,LTB_1999        _Fall,51-75
TBM1998110202,11,1998,20,Fall,HB,1999,NA,1,MudSan,None,Non,24.5,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998110207,11,1998,20,Fall,OTB,1999,9113,26,MudSan,Halodule spp.,SAV,25.3,OTB_Fall,OTB_1999,OTB_1999        _Fall,76-100
TBM1998110210,11,1998,20,Fall,MTB,1999,NA,6,MudSan,None,Non,25.3,MTB_Fall,MTB_1999,MTB_1999        _Fall,0-25
TBM1998110409,11,1998,20,Fall,OTB,1999,NA,22,MudSan,Halodule spp.,SAV,24.2,OTB_Fall,OTB_1999,OTB_1999        _Fall,76-100
TBM1998110413,11,1998,20,Fall,OTB,1999,NA,24,MudSan,None,Non,24.4,OTB_Fall,OTB_1999,OTB_1999        _Fall,0-25
TBM1998110414,11,1998,20,Fall,HB,1999,NA,5,MudSan,None,Non,24.2,HB_Fall,HB_1999,HB_1999         _Fall,0-25
TBM1998110415,11,1998,20,Fall,OTB,1999,9116,24,MudSan,Halodule spp.,SAV,24.5,OTB_Fall,OTB_1999,OTB_1999        _Fall,76-100
TBM1998110416,11,1998,20,Fall,OTB,1999,NA,24,Mud,None,Non,24.5,OTB_Fall,OTB_1999,OTB_1999        _Fall,0-25
TBM1998111205,11,1998,20,Fall,MTB,1999,NA,19,San,None,Non,24.4,MTB_Fall,MTB_1999,MTB_1999        _Fall,0-25
TBM1998111206,11,1998,20,Fall,MTB,1999,NA,6,MudSan,None,Non,25.1,MTB_Fall,MTB_1999,MTB_1999        _Fall,0-25
TBM1998111207,11,1998,20,Fall,MTB,1999,9116,17,MudSan,Halodule spp.,SAV,25.6,MTB_Fall,MTB_1999,MTB_1999        _Fall,76-100
TBM1998111602,11,1998,20,Fall,LTB,1999,9116,10,San,Halodule spp.,SAV,24.7,LTB_Fall,LTB_1999,LTB_1999        _Fall,76-100
TBM1998111606,11,1998,20,Fall,LTB,1999,NA,8,MudSan,None,Non,26,LTB_Fall,LTB_1999,LTB_1999        _Fall,0-25
TBM1998111607,11,1998,20,Fall,LTB,1999,9113,8,San,Halodule spp.,SAV,26.3,LTB_Fall,LTB_1999,LTB_1999        _Fall,0-25
TBM1998120201,12,1998,20,Winter,LTB,1999,NA,10,MudSan,Syringodium spp.,SAV,21.2,LTB_Winter,LTB_1999,LTB_1999        _Winter,76-100
TBM1998120306,12,1998,20,Winter,MTB,1999,9113,7,San,Halodule spp.,SAV,23.2,MTB_Winter,MTB_1999,MTB_1999        _Winter,76-100
TBM1998120307,12,1998,20,Winter,HB,1999,NA,3,MudSan,None,Non,24,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998120410,12,1998,20,Winter,OTB,1999,NA,21,MudSan,None,Non,25.8,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998120703,12,1998,20,Winter,OTB,1999,9113,26,MudSan,Halodule spp.,SAV,23.6,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998120704,12,1998,20,Winter,MTB,1999,NA,27,MudSan,None,Non,23.2,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998120705,12,1998,20,Winter,MTB,1999,NA,17,MudSan,Thalassia spp.,SAV,24.5,MTB_Winter,MTB_1999,MTB_1999        _Winter,76-100
TBM1998120805,12,1998,20,Winter,OTB,1999,9116,24,MudSan,None,Non,24.2,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998120807,12,1998,20,Winter,OTB,1999,NA,24,MudSan,Halodule spp.,SAV,24.3,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998120811,12,1998,20,Winter,OTB,1999,NA,23,MudSan,Thalassia spp.,SAV,25.2,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998120910,12,1998,20,Winter,MTB,1999,NA,6,San,None,Non,26,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998120912,12,1998,20,Winter,MTB,1999,NA,6,San,None,Non,26,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998121501,12,1998,20,Winter,MTB,1999,NA,6,San,Halodule spp.,SAV,18.7,MTB_Winter,MTB_1999,MTB_1999        _Winter,76-100
