Reference,Project_1,Project_2,Project_3,Stratum,Gear,Rep,Longitude,Latitude,StartDepth,Zone,Grid,Secchi_on_bottom,Secchi_depth,SAM,BottomVegCover,Seagrass_habitat_descriptor,Distance_to_edge,TotalShoreCover,Total_Over_Site,Intermittent_land,Dist_to_Shore,Dist_to_ShoreType,Dist_to_MHTM,BycatchQuantity,BankDistance,ShoreDistance,Historic_Reference,starttime,date,month,year,gr,effort,slope,Season,TBEP_seg,ScoreNumTaxa,ScoreShannon,ScoreTaxaSelect,ScoreTaxaBenthic,ScoreNumGuilds,TBNI_Score,sgyear,FLUCCSCODE,acres,areas,mngacre
TBM1998012107,AM,,,A,20,1,-82.581333,27.829167,0.7,B,157,YES,0.7,,20,,,,,,,,,0,99,99,TBM980069,10:08:00,21JAN1998,1,1998,20,1.4,0.2,Winter,MTB,2,3,0,1,5,22,1999,9113,666.54666052472,19,8681.7103268
TBM1998012115,AM,,,A,20,1,-82.622167,27.7795,0.6,B,208,YES,0.6,,40,,,,,,,,,0,99,99,TBM980072,12:11:00,21JAN1998,1,1998,20,1.4,0,Winter,MTB,3,6,3,3,5,40,1999,9113,447.426180576155,18,8914.5691846
TBM1998012603,AM,,,B,20,1,-82.5635,27.638833,1,E,350,YES,1,,0,,,,,,,,,0,58,55,TBM980041,11:06:00,26JAN1998,1,1998,20,1.4,0,Winter,LTB,2,4,0,2,5,26,1999,NA,NA,7,12684.447768
TBM1998021003,AM,,,B,20,1,-82.464167,27.937,0.7,C,56,YES,0.7,,0,,,,,,,,,0.1,31,30,TBM980100,9:46:00,10FEB1998,2,1998,20,1.4,0,Winter,HB,3,1,7,2,8,42,1999,NA,NA,2,6307.6176093
TBM1998021104,AM,,,B,20,1,-82.564667,27.631167,0.8,E,362,YES,0.8,,0,,,,,,,,,0.2,92,90,TBM980110,12:36:00,11FEB1998,2,1998,20,1.4,,Winter,LTB,2,4,3,2,5,32,1999,NA,NA,8,21773.055647
TBM1998021201,AM,,,A,20,1,-82.620667,27.847167,0.7,B,137,YES,0.7,,60,,,,,,,,,0,21,20,TBM980115,8:14:00,12FEB1998,2,1998,20,1.4,0,Winter,MTB,7,9,10,6,8,80,1999,NA,NA,19,8681.7103268
TBM1998021202,AM,,,A,20,1,-82.591833,27.859667,0.7,B,126,YES,0.7,,100,,,,,,,,,0.5,70,70,TBM980116,8:59:00,12FEB1998,2,1998,20,1.4,0,Winter,OTB,8,2,7,9,8,68,1999,9116,601.363059996378,19,8681.7103268
TBM1998021203,AM,,,B,20,1,-82.685833,28.029667,0.5,A,4,YES,0.5,,0,,,,,,,,,0,24,20,TBM980117,10:51:00,12FEB1998,2,1998,20,1.4,0,Winter,OTB,5,6,7,5,8,62,1999,NA,NA,23,10324.219466
TBM1998021204,AM,,,B,20,1,-82.668333,28.0175,0.6,A,5,YES,0.6,,0,,,,,,,,,0,35,30,TBM980118,11:09:00,12FEB1998,2,1998,20,1.4,0,Winter,OTB,5,7,7,3,10,64,1999,9113,413.245949927957,23,10324.219466
TBM1998021205,AM,,,A,20,1,-82.681833,27.917,0.3,A,63,YES,0.3,,60,,,,,,,,,0,25,20,TBM980119,11:45:00,12FEB1998,2,1998,20,1.4,0,Winter,OTB,7,9,10,6,8,80,1999,NA,NA,21,6230.095118
TBM1998021206,AM,,,A,20,1,-82.7215,27.937833,0.3,A,43,YES,0.3,,40,,,,,,,,,0,55,50,TBM980120,12:18:00,12FEB1998,2,1998,20,1.4,0,Winter,OTB,6,9,10,4,8,74,1999,9113,227.623168968835,22,5889.9419909
TBM1998021303,AM,,,A,20,1,-82.709833,27.509,0.7,E,439,YES,0.7,,75,,,,,,,,,0,50,50,TBM980123,11:26:00,13FEB1998,2,1998,20,1.4,0,Winter,LTB,10,5,10,9,8,84,1999,9113,767.905305858314,10,9928.7089733
TBM1998021304,AM,,,A,20,1,-82.686667,27.5135,0.5,E,440,YES,0.5,,100,,,,,,,,,15,21,20,TBM980124,12:00:00,13FEB1998,2,1998,20,1.4,0,Winter,LTB,2,0,3,2,5,24,1999,9116,1423.31208025914,10,9928.7089733
TBM1998021703,AM,,,B,20,1,-82.6205,27.708333,1.2,B,279,YES,1.2,,5,,,,,,,,,0,99,99,TBM980134,9:45:00,17FEB1998,2,1998,20,1.4,0.2,Winter,MTB,2,4,0,2,5,26,1999,9116,630.093172667551,17,7685.8332152
TBM1998021704,AM,,,A,20,1,-82.6735,27.6485,1.2,D,343,YES,1.2,,60,,,,,,,,,0,60,60,TBM980135,11:25:00,17FEB1998,2,1998,20,1.4,0,Winter,LTB,2,3,0,2,8,30,1999,NA,NA,16,8905.9006299
TBM1998021705,AM,,,B,20,1,-82.695333,27.632667,1.1,D,354,YES,1.1,,0,,,,,,,,,0,99,99,TBM980136,11:45:00,17FEB1998,2,1998,20,1.4,0.2,Winter,LTB,0,0,0,0,0,0,1999,NA,NA,12,18816.122087
TBM1998022015,AM,,,B,20,1,-82.477167,27.729667,0.6,C,269,NO,0.5,,25,,,,,,,,,0,60,50,TBM980164,14:08:00,20FEB1998,2,1998,20,1.4,0,Winter,MTB,6,1,7,4,10,56,1999,NA,NA,6,20137.862998
TBM1998022501,AM,,,B,20,1,-82.4245,27.787667,0.8,C,203,YES,0.8,,0,,,,,,,,,0,99,99,TBM980166,10:21:00,25FEB1998,2,1998,20,1.4,0.4,Winter,MTB,5,10,7,5,8,70,1999,NA,NA,6,20137.862998
TBM1998022503,AM,,,B,20,1,-82.443167,27.763333,0.7,C,236,YES,0.7,,0,,,,,,,,,0,99,99,TBM980168,11:22:00,25FEB1998,2,1998,20,1.4,0,Winter,MTB,4,6,3,2,10,50,1999,NA,NA,6,20137.862998
TBM1998031005,AM,,,B,20,1,-82.419333,27.891,0.8,C,108,NO,0.7,,0,,,,,,,,,0,99,99,TBM980194,10:50:00,10MAR1998,3,1998,20,1.4,,Winter,HB,3,4,7,2,8,48,1999,NA,NA,3,3127.9801709
TBM1998031008,AM,,,B,20,1,-82.413833,27.893667,0.6,C,109,YES,0.6,,0,,,,,,,,,0,99,99,TBM980195,11:10:00,10MAR1998,3,1998,20,1.4,0,Winter,HB,3,6,7,3,5,48,1999,NA,NA,3,3127.9801709
TBM1998031304,AM,,,A,20,1,-82.552667,27.8565,0.5,B,128,YES,0.5,,100,,,,,,,,,0,40,20,TBM980204,9:19:00,13MAR1998,3,1998,20,1.4,0.3,Winter,OTB,8,2,7,9,8,68,1999,9113,253.721206437645,26,2301.490096
TBM1998031306,AM,,,A,20,1,-82.638167,27.893833,0.3,A,96,YES,0.3,,100,,,,,,,,,0,20,7,TBM980205,10:37:00,13MAR1998,3,1998,20,1.4,0,Winter,OTB,6,6,3,6,8,58,1999,NA,NA,20,5436.0899314
TBM1998031307,AM,,,A,20,1,-82.701,27.521167,0.5,E,419,YES,0.5,,80,,,,,,,,,0.5,99,99,TBM980186,10:50:00,13MAR1998,3,1998,20,1.4,0,Winter,LTB,5,3,10,4,8,60,1999,NA,NA,10,9928.7089733
TBM1998031308,AM,,,B,20,1,-82.691833,27.516333,0.7,E,440,YES,0.7,,10,,,,,,,,,0,99,99,TBM980187,11:12:00,13MAR1998,3,1998,20,1.4,0,Winter,LTB,2,6,7,2,5,44,1999,NA,NA,10,9928.7089733
TBM1998031309,AM,,,B,20,1,-82.694,27.527833,0.6,E,420,YES,0.6,,15,,,,,,,,,0,99,99,TBM980188,11:30:00,13MAR1998,3,1998,20,1.4,0,Winter,LTB,2,3,3,2,5,30,1999,9116,1423.31208025914,10,9928.7089733
TBM1998031604,AM,,,A,20,1,-82.572833,27.618667,1.1,E,361,YES,1.1,,100,,,,,,,,,0,99,99,TBM980211,10:59:00,16MAR1998,3,1998,20,1.4,0.2,Winter,LTB,1,0,0,1,2,8,1999,NA,NA,8,21773.055647
TBM1998031705,AM,,,B,20,1,-82.4215,27.791667,0.8,C,203,NO,0.6,,0,,,,,,,,,0,99,99,TBM980221,12:59:00,17MAR1998,3,1998,20,1.4,0.1,Winter,MTB,3,5,7,3,2,40,1999,NA,NA,6,20137.862998
TBM1998031803,AM,,,B,20,1,-82.623333,27.734,0.8,B,244,YES,0.8,,0,,,,,,,,,0,76,75,TBM980214,9:26:00,18MAR1998,3,1998,20,1.4,0,Winter,MTB,7,10,10,6,8,82,1999,9116,630.093172667551,17,7685.8332152
TBM1998031808,AM,,,A,20,1,-82.626167,27.749333,0.6,B,244,YES,0.6,,50,,,,,,,,,1,42,40,TBM980216,10:24:00,18MAR1998,3,1998,20,1.4,0,Winter,MTB,6,5,7,5,8,62,1999,9113,288.739507171324,17,7685.8332152
TBM1998032301,AM,,,B,20,1,-82.501667,27.718333,0.8,C,267,NO,0.6,,,,,,,,,,,0,99,99,TBM980244,9:48:00,23MAR1998,3,1998,20,1.4,0.1,Winter,MTB,4,5,3,2,8,44,1999,NA,NA,7,12684.447768
TBM1998032402,AM,,,B,20,1,-82.6215,27.988,0.6,A,18,YES,0.6,,0,,,,,,,,,0,99,99,TBM980223,9:41:00,24MAR1998,3,1998,20,1.4,0,Winter,OTB,2,4,0,1,5,24,1999,NA,NA,24,9065.0167245
TBM1998032403,AM,,,B,20,1,-82.654667,27.998333,0.7,A,16,YES,0.7,,0,,,,,,,,,0,99,99,TBM980224,10:01:00,24MAR1998,3,1998,20,1.4,0,Winter,OTB,2,6,3,3,8,44,1999,NA,NA,23,10324.219466
TBM1998032404,AM,,,A,20,1,-82.653667,28.003333,0.4,A,10,YES,0.4,,50,,,,,,,,,0,99,99,TBM980225,10:25:00,24MAR1998,3,1998,20,1.4,0,Winter,OTB,3,5,3,4,8,46,1999,NA,NA,24,9065.0167245
TBM1998040901,AM,,,B,20,1,-82.433333,27.938333,0.5,C,57,YES,0.5,,0,,,,,,,,,0,20,20,TBM980274,8:45:00,09APR1998,4,1998,20,1.4,0,Spring,HB,7,9,10,5,10,82,1999,NA,NA,1,2562.9620252
TBM1998040904,AM,,,B,20,1,-82.419167,27.8455,0.7,C,147,NO,0.5,,0,,,,,,,,,1,18,15,TBM980275,10:02:00,09APR1998,4,1998,20,1.4,0,Spring,HB,10,9,10,10,10,98,1999,NA,NA,5,3521.78211
TBM1998041302,AM,,,B,20,1,-82.481833,27.724333,0.5,C,269,YES,0.5,,10,,,,,,,,,0,99,99,TBM980287,9:48:00,13APR1998,4,1998,20,1.4,0,Spring,MTB,2,6,7,3,3,42,1999,NA,NA,6,20137.862998
TBM1998041304,AM,,,A,20,1,-82.45,27.759333,0.6,C,235,YES,0.6,,70,,,,,,,,,0,99,99,TBM980289,11:44:00,13APR1998,4,1998,20,1.4,0,Spring,MTB,2,4,3,3,3,30,1999,NA,NA,6,20137.862998
TBM1998041402,AM,,,B,20,1,-82.5165,27.7055,0.6,C,286,YES,0.6,,5,,,,,,,,,0,99,99,TBM980300,8:40:00,14APR1998,4,1998,20,1.4,0,Spring,MTB,2,7,7,3,7,52,1999,9116,937.327046667042,7,12684.447768
TBM1998041501,AM,,,A,20,1,-82.606667,27.983167,0.9,A,27,YES,0.9,,100,,,,,,,,,1,99,99,TBM980293,8:22:00,15APR1998,4,1998,20,1.4,0.1,Spring,OTB,2,5,0,3,3,26,1999,9116,483.426364365338,24,9065.0167245
TBM1998041503,AM,,,B,20,1,-82.690333,27.97,0.8,A,22,YES,0.8,,0,,,,,,,,,0,99,99,TBM980294,8:52:00,15APR1998,4,1998,20,1.4,0,Spring,OTB,3,8,0,4,0,30,1999,9116,191.895835654581,23,10324.219466
TBM1998041508,AM,,,B,20,1,-82.684333,27.9165,0.4,A,79,YES,0.4,,0,,,,,,,,,0,99,99,TBM980296,10:00:00,15APR1998,4,1998,20,1.4,0,Spring,OTB,1,1,0,0,3,10,1999,NA,NA,21,6230.095118
TBM1998041513,AM,,,A,20,1,-82.673833,27.913833,1,A,80,YES,1,,100,,,,,,,,,0,99,99,TBM980298,11:20:00,15APR1998,4,1998,20,1.4,0.2,Spring,OTB,3,8,7,4,7,58,1999,NA,NA,21,6230.095118
TBM1998041603,AM,,,B,20,1,-82.554333,27.833167,1,B,158,YES,1,,0,,,,,,,,,0,99,99,TBM980282,9:57:00,16APR1998,4,1998,20,1.4,0,Spring,OTB,0,0,0,0,0,0,1999,NA,NA,27,11366.086965
TBM1998041605,AM,,,A,20,1,-82.5885,27.834,0.9,B,139,YES,0.9,,100,,,,,,,,,3,50,50,TBM980283,10:30:00,16APR1998,4,1998,20,1.4,0,Spring,OTB,0,0,0,0,0,0,1999,NA,NA,19,8681.7103268
TBM1998041703,AM,,,B,20,1,-82.6345,27.743,0.5,B,243,YES,0.5,,15,,,,,,,,,0,7,7,TBM980327,10:15:00,17APR1998,4,1998,20,1.4,0.2,Spring,MTB,8,2,10,5,10,70,1999,NA,NA,17,7685.8332152
TBM1998042102,AM,,,B,20,1,-82.618833,27.5685,0.6,E,392,YES,0.6,,0,,,,,,,,,0,99,99,TBM980337,9:03:00,21APR1998,4,1998,20,1.4,0.1,Spring,LTB,0,0,0,0,0,0,1999,NA,NA,8,21773.055647
TBM1998051103,AM,,,B,20,1,-82.475167,27.928667,1.1,C,74,NO,0.6,,0,,,,,,,,,0,10,10,TBM980371,9:03:00,11MAY1998,5,1998,20,1.4,0,Spring,HB,7,5,10,2,10,68,1999,NA,NA,2,6307.6176093
TBM1998051105,AM,,,B,20,1,-82.481167,27.890667,0.9,C,105,YES,1,,0,,,,,,,,,1,41,40,TBM980372,9:44:00,11MAY1998,5,1998,20,1.4,0,Spring,HB,2,1,0,1,5,18,1999,NA,NA,2,6307.6176093
TBM1998051202,AM,,,A,20,1,-82.635833,27.997667,0.6,A,17,YES,0.6,,70,,,,,,,,,2,99,99,TBM980376,10:01:00,12MAY1998,5,1998,20,1.4,0.1,Spring,OTB,5,10,3,6,7,62,1999,NA,NA,24,9065.0167245
TBM1998051205,AM,,,B,20,1,-82.656333,27.912167,0.9,A,81,YES,0.9,,0,,,,,,,,,0,25,25,TBM980379,13:38:00,12MAY1998,5,1998,20,1.4,0,Spring,OTB,2,6,3,3,3,34,1999,NA,NA,21,6230.095118
TBM1998051206,AM,,,A,20,1,-82.660333,27.912167,1,A,81,YES,1,,25,,,,,,,,,0,70,70,TBM980380,13:56:00,12MAY1998,5,1998,20,1.4,0,Spring,OTB,5,7,10,5,7,68,1999,NA,NA,21,6230.095118
TBM1998051302,AM,,,B,20,1,-82.537,27.9325,0.9,A,71,YES,0.9,,10,,,,,,,,,0,99,99,TBM980390,9:30:00,13MAY1998,5,1998,20,1.4,0,Spring,OTB,2,5,0,3,3,26,1999,NA,NA,25,6527.2609432
TBM1998051305,AM,,,A,20,1,-82.582667,27.828333,0.9,B,157,YES,1,,40,,,,,,,,,0,99,99,TBM980393,11:55:00,13MAY1998,5,1998,20,1.4,0.1,Spring,MTB,2,3,0,3,3,22,1999,NA,NA,19,8681.7103268
TBM1998051902,AM,,,A,20,1,-82.461333,27.7475,0.8,C,254,YES,0.8,,80,,,,,,,,,100,30,30,TBM980383,10:10:00,19MAY1998,5,1998,20,1.4,0,Spring,MTB,6,8,10,6,3,66,1999,NA,NA,6,20137.862998
TBM1998051905,AM,,,B,20,1,-82.438667,27.8225,0.8,C,165,YES,0.8,,0,,,,,,,,,0,8,8,TBM980386,13:18:00,19MAY1998,5,1998,20,1.4,0.4,Spring,HB,2,4,3,2,5,32,1999,NA,NA,29,2277.8200299
TBM1998052007,AM,,,B,20,1,-82.608833,27.575167,0.8,E,393,YES,0.8,,0,,,,,,,,,0,15,15,TBM980398,10:03:00,20MAY1998,5,1998,20,1.4,0,Spring,LTB,4,10,3,3,7,54,1999,9113,1490.55688662239,8,21773.055647
TBM1998052101,AM,,,A,20,1,-82.617833,27.714167,0.3,B,279,YES,0.3,,95,,,,,,,,,0.5,99,99,TBM980417,7:50:00,21MAY1998,5,1998,20,1.4,0.2,Spring,MTB,8,1,3,9,7,56,1999,9113,288.739507171324,17,7685.8332152
TBM1998052102,AM,,,B,20,1,-82.645,27.689667,0.5,B,297,YES,0.5,,5,,,,,,,,,0,99,99,TBM980418,8:28:00,21MAY1998,5,1998,20,1.4,0.1,Spring,LTB,0,0,0,0,0,0,1999,9113,394.722100271014,16,8905.9006299
TBM1998052202,AM,,,A,20,1,-82.581667,27.5905,0.5,E,384,YES,0.5,,100,,,,,,,,,0.5,20,10,TBM980423,9:05:00,22MAY1998,5,1998,20,1.4,0,Spring,LTB,10,8,10,8,10,92,1999,9116,2270.8811000018,8,21773.055647
TBM1998052203,AM,,,A,20,1,-82.5655,27.6225,0.6,E,362,YES,0.6,,90,,,,,,,,,70,99,99,TBM980424,10:05:00,22MAY1998,5,1998,20,1.4,0,Spring,LTB,6,10,7,6,7,72,1999,9113,1490.55688662239,8,21773.055647
TBM1998052605,AM,,,B,20,1,-82.695833,27.635333,0.9,D,342,YES,0.9,,15,,,,,,,,,0,90,90,TBM980429,10:17:00,26MAY1998,5,1998,20,1.4,0,Spring,LTB,0,0,0,0,0,0,1999,9113,858.550279635345,12,18816.122087
TBM1998061001,AM,,,B,20,1,-82.4885,27.909167,0.8,C,90,YES,0.8,,0,,,,,,,,,0,40,40,TBM980451,8:36:00,10JUN1998,6,1998,20,1.4,0,Summer,HB,2,6,2,2,3,30,1999,NA,NA,2,6307.6176093
TBM1998061003,AM,,,B,20,1,-82.479333,27.924833,0.9,C,74,YES,0.9,,0,,,,,,,,,0.5,99,99,TBM980452,8:48:00,10JUN1998,6,1998,20,1.4,0,Summer,HB,3,7,5,1,3,38,1999,NA,NA,2,6307.6176093
TBM1998061005,AM,,,B,20,1,-82.406333,27.8725,0.8,C,122,NO,0.7,,0,,,,,,,,,0.5,99,99,TBM980453,9:25:00,10JUN1998,6,1998,20,1.4,0,Summer,HB,4,7,8,5,7,62,1999,NA,NA,3,3127.9801709
TBM1998061104,AM,,,A,20,1,-82.495,27.823667,0.7,C,162,YES,0.7,,100,,,,,,,,,1,80,70,TBM980463,11:13:00,11JUN1998,6,1998,20,1.4,0,Summer,MTB,6,7,8,6,7,68,1999,9116,532.226116312233,27,11366.086965
TBM1998061201,AM,,,A,20,1,-82.6345,27.5525,0.6,E,403,YES,1.4,,50,,,,,,,,,0,99,99,TBM980465,8:30:00,12JUN1998,6,1998,20,1.4,0.7,Summer,LTB,7,10,0,9,7,66,1999,NA,NA,8,21773.055647
TBM1998061202,AM,,,B,20,1,-82.635833,27.552,1.1,E,403,YES,1.4,,15,,,,,,,,,0,99,99,TBM980466,8:52:00,12JUN1998,6,1998,20,1.4,0.2,Summer,LTB,0,0,0,0,0,0,1999,NA,NA,8,21773.055647
TBM1998061501,AM,,,A,20,1,-82.607833,27.987833,0.9,A,19,YES,0.9,,80,,,,,,,,,0.5,30,30,TBM980470,8:34:00,15JUN1998,6,1998,20,1.4,,Summer,OTB,5,0,8,5,7,50,1999,NA,NA,24,9065.0167245
TBM1998061503,AM,,,B,20,1,-82.6335,27.995,1,A,17,YES,1,,0,,,,,,,,,2,99,99,TBM980472,9:43:00,15JUN1998,6,1998,20,1.4,,Summer,OTB,5,7,5,4,3,48,1999,9113,392.514187468931,24,9065.0167245
TBM1998061505,AM,,,A,20,1,-82.680333,27.997,0.9,A,15,YES,0.9,,90,,,,,,,,,5,99,99,TBM980474,11:19:00,15JUN1998,6,1998,20,1.4,,Summer,OTB,6,6,2,5,10,58,1999,9113,413.245949927957,23,10324.219466
TBM1998061506,AM,,,B,20,1,-82.682833,27.990167,1.1,A,15,NO,0.7,,0,,,,,,,,,1.5,99,99,TBM980475,12:15:00,15JUN1998,6,1998,20,1.4,,Summer,OTB,4,5,5,3,3,40,1999,NA,NA,23,10324.219466
TBM1998061604,AM,,,A,20,1,-82.677833,27.650333,0.9,D,330,YES,0.9,,80,,,,,,,,,0,21,20,TBM980485,10:00:00,16JUN1998,6,1998,20,1.4,0,Summer,LTB,5,3,3,5,7,46,1999,9116,5372.72393978512,12,18816.122087
TBM1998061605,AM,,,A,20,1,-82.6865,27.652333,0.7,D,329,NO,0.7,,100,,,,,,,,,0,99,99,TBM980486,10:35:00,16JUN1998,6,1998,20,1.4,0,Summer,LTB,6,3,10,8,7,68,1999,9116,5372.72393978512,12,18816.122087
TBM1998061805,AM,,,A,20,1,-82.593333,27.847833,1,B,139,YES,1,,95,,,,,,,,,30,99,99,TBM980491,9:19:00,18JUN1998,6,1998,20,1.4,0,Summer,OTB,9,7,8,9,10,86,1999,9116,601.363059996378,19,8681.7103268
TBM1998061810,AM,,,B,20,1,-82.599667,27.796333,0.8,B,193,YES,0.8,,5,,,,,,,,,0,99,99,TBM980493,10:45:00,18JUN1998,6,1998,20,1.4,0,Summer,MTB,4,9,2,4,7,52,1999,9113,447.426180576155,18,8914.5691846
TBM1998061901,AM,,,A,20,1,-82.539667,27.87,0.8,B,115,YES,0.8,,80,,,,,,,,,0,99,99,TBM980508,8:17:00,19JUN1998,6,1998,20,1.4,0,Summer,OTB,6,10,5,6,10,74,1999,9113,253.721206437645,26,2301.490096
TBM1998062202,AM,,,A,20,1,-82.549333,27.654333,0.8,E,338,YES,0.8,,90,,,,,,,,,1,99,99,TBM980514,10:00:00,22JUN1998,6,1998,20,1.4,0,Summer,MTB,3,4,2,4,7,40,1999,9113,1112.69726502783,7,12684.447768
TBM1998070702,AM,,,B,20,1,-82.403,27.813667,1,C,186,YES,1,,0,,,,,,,,,0,30,30,TBM980533,8:55:00,07JUL1998,7,1998,20,1.4,0,Summer,HB,3,8,0,4,0,30,1999,NA,NA,5,3521.78211
TBM1998070901,AM,,,B,20,1,-82.673,27.522,0.5,E,421,YES,0.5,,0,,,,,,,,,0,99,99,TBM980540,9:36:00,09JUL1998,7,1998,20,1.4,0,Summer,LTB,1,4,3,1,3,24,1999,9116,1423.31208025914,10,9928.7089733
TBM1998070903,AM,,,A,20,1,-82.628667,27.5595,1,E,404,YES,1,,50,,,,,,,,,0,99,99,TBM980542,10:38:00,09JUL1998,7,1998,20,1.4,,Summer,LTB,2,6,0,2,3,26,1999,9113,1490.55688662239,8,21773.055647
TBM1998070905,AM,,,A,20,1,-82.601333,27.567167,1,E,393,NO,,,50,,,,,,,,,0,10,10,TBM980544,11:46:00,09JUL1998,7,1998,20,1.4,,Summer,LTB,10,8,10,10,10,96,1999,9116,2270.8811000018,8,21773.055647
TBM1998071002,AM,,,B,20,1,-82.4195,27.941333,1,C,58,YES,1,,0,,,,,,,,,,50,50,TBM980553,8:41:00,10JUL1998,7,1998,20,1.4,0,Summer,HB,0,0,0,0,0,0,1999,NA,NA,1,2562.9620252
TBM1998071312,AM,,,A,20,1,-82.396167,27.831167,0.5,C,168,YES,0.5,,85,,,,,,,,,1,99,99,TBM980562,11:08:00,13JUL1998,7,1998,20,1.4,0.1,Summer,HB,10,10,10,10,7,94,1999,NA,NA,5,3521.78211
TBM1998071404,AM,,,B,20,1,-82.5015,27.717333,0.8,C,267,YES,0.8,,5,,,,,,,,,1,99,99,TBM980567,8:52:00,14JUL1998,7,1998,20,1.4,0.1,Summer,MTB,5,6,5,6,7,58,1999,9113,1112.69726502783,7,12684.447768
TBM1998071406,AM,,,B,20,1,-82.5535,27.6035,0.5,E,373,YES,0.6,,20,,,,,,,,,0,35,30,TBM980568,9:44:00,14JUL1998,7,1998,20,1.4,0.1,Summer,LTB,3,4,0,2,7,32,1999,9113,1490.55688662239,8,21773.055647
TBM1998071409,AM,,,A,20,1,-82.593667,27.6025,1,E,371,YES,1,,25,,,,,,,,,0.4,99,99,TBM980569,10:20:00,14JUL1998,7,1998,20,1.4,0.2,Summer,LTB,3,6,0,3,3,30,1999,NA,NA,8,21773.055647
TBM1998071607,AM,,,A,20,1,-82.6695,27.676333,0.4,D,312,YES,0.4,,100,,,,,,,,,1,99,99,TBM980577,13:02:00,16JUL1998,7,1998,20,1.4,0.1,Summer,LTB,3,8,10,3,7,62,1999,9113,394.722100271014,16,8905.9006299
TBM1998071704,AM,,,B,20,1,-82.5435,27.843667,0.9,B,142,YES,0.9,,5,,,,,,,,,0,99,99,TBM980582,11:25:00,17JUL1998,7,1998,20,1.4,,Summer,OTB,2,5,2,2,3,28,1999,NA,NA,27,11366.086965
TBM1998072101,AM,,,A,20,1,-82.593833,27.871333,1,B,112,YES,1,,100,,,,,,,,,75,99,99,TBM980609,8:18:00,21JUL1998,7,1998,20,1.4,0,Summer,OTB,4,3,2,4,7,40,1999,9116,601.363059996378,19,8681.7103268
